Image;Emotion;Trajectory
amusement_0497;P;<688.0,1598.0,0.0>,<681.0,1564.0,50.0>,<680.0,1476.6332,68.0>,<684.1199,1400.6687,79.0>,<692.5115,1300.992,90.0>,<704.85974,1213.5356,101.0>,<721.8616,1144.9427,112.0>,<743.15967,1103.9962,123.0>,<757.0936,1069.4481,134.0>,<768.289,1046.1063,146.0>,<779.65753,1026.0205,157.0>,<788.03326,1009.578,168.0>,<792.60645,996.74194,179.0>,<797.9328,988.06726,190.0>,<800.6574,981.0277,201.0>,<804.95844,975.69434,212.0>,<809.27203,970.728,223.0>,<814.2587,965.11194,234.0>,<819.8752,959.12476,246.0>,<825.86676,954.1332,257.0>,<831.80505,948.59326,268.0>,<839.4236,940.5764,279.0>,<848.03815,931.9619,290.0>,<850.0,930.0,292.0>,<850.0,930.0,298.0>,
fear_0958;N;<749.0,1392.0,0.0>,<735.0,1361.0,55.0>,<728.37994,1313.0393,67.0>,<728.7091,1275.273,78.0>,<731.3874,1224.6573,89.0>,<733.694,1176.0382,101.0>,<741.46075,1133.8492,112.0>,<749.6948,1106.2417,123.0>,<754.36017,1078.1588,134.0>,<760.62695,1058.0894,145.0>,<768.6779,1041.6442,156.0>,<774.29407,1028.1179,167.0>,<778.92804,1018.7866,178.0>,<783.2845,1009.7887,189.0>,<787.26,1002.48,201.0>,<790.2624,996.10645,212.0>,<794.2669,990.09973,223.0>,<798.249,984.12646,234.0>,<802.21814,978.78186,245.0>,<807.2339,974.7661,256.0>,<814.3964,970.4009,267.0>,<816.0,970.0,269.0>,<816.0,970.0,275.0>,
fear_0694;N;<734.0,1441.0,0.0>,<731.0,1407.0,28.0>,<732.0,1344.0682,43.0>,<731.27246,1296.266,54.0>,<733.8089,1247.7423,65.0>,<746.6601,1193.6047,76.0>,<759.5262,1144.1122,87.0>,<777.557,1095.2432,98.0>,<797.12634,1053.386,110.0>,<814.47797,1014.7638,121.0>,<829.60846,991.4165,132.0>,<841.5523,972.3163,143.0>,<853.17444,957.82556,154.0>,<863.88135,943.95764,165.0>,<873.4005,930.23926,176.0>,<884.32745,916.6725,188.0>,<896.0668,906.6111,199.0>,<909.28436,897.8578,210.0>,<920.38385,890.29297,221.0>,<925.0,885.0,228.0>,<925.0,885.0,233.0>,
fear_0943;N;<752.0,1445.0,0.0>,<748.0,1414.0,42.0>,<746.0,1365.9645,56.0>,<749.60046,1323.7968,67.0>,<753.96796,1287.6002,78.0>,<759.371,1239.5482,89.0>,<765.5294,1201.6176,100.0>,<775.0156,1162.9453,112.0>,<789.3519,1127.2961,123.0>,<801.62885,1097.1134,134.0>,<812.00024,1077.5996,145.0>,<820.0,1062.0,156.0>,<827.9449,1049.1102,167.0>,<833.2839,1038.1483,178.0>,<838.1639,1029.0903,189.0>,<843.24677,1019.88306,200.0>,<848.1304,1010.1741,212.0>,<852.22186,1001.16724,223.0>,<856.1335,994.86646,234.0>,<860.2242,989.7759,245.0>,<863.53613,985.46387,256.0>,<867.2129,981.7871,267.0>,<871.618,977.9214,278.0>,<876.7751,974.4083,289.0>,<881.0,974.0,298.0>,<881.0,974.0,303.0>,
fear_0680;N;<802.0,1510.0,0.0>,<801.0,1506.0,83.0>,<794.63794,1493.5948,98.0>,<789.96136,1483.6023,109.0>,<786.329,1472.9739,120.0>,<783.3244,1460.2708,131.0>,<781.32074,1445.5658,142.0>,<777.6413,1429.8859,153.0>,<774.63824,1412.8722,164.0>,<770.6412,1392.5264,175.0>,<768.32056,1369.8463,187.0>,<766.32153,1347.5369,198.0>,<766.0,1324.8506,209.0>,<766.0,1299.8615,220.0>,<766.6721,1276.6067,231.0>,<767.0,1252.8027,242.0>,<767.6721,1228.9348,253.0>,<770.668,1206.6516,265.0>,<774.3078,1183.4993,276.0>,<779.676,1157.3029,287.0>,<788.3232,1131.3596,298.0>,<798.3708,1104.5619,309.0>,<811.5959,1078.4648,320.0>,<826.3334,1051.9999,331.0>,<842.37274,1028.6125,342.0>,<855.6863,1007.3053,354.0>,<867.2956,989.72705,365.0>,<876.66,976.01,376.0>,<886.22546,965.4197,387.0>,<893.0,961.0,394.0>,<893.0,961.0,400.0>,
fear_0906;N;<725.0,1438.0,0.0>,<722.0,1422.0,46.0>,<718.59735,1385.5776,58.0>,<719.6965,1358.7667,70.0>,<721.6978,1320.742,81.0>,<726.66406,1286.0098,92.0>,<730.06775,1252.9722,103.0>,<741.9967,1225.3405,114.0>,<749.263,1197.8636,125.0>,<757.6151,1169.501,136.0>,<766.2605,1147.479,147.0>,<775.5664,1128.2256,158.0>,<781.91113,1107.2666,170.0>,<789.1676,1091.1989,181.0>,<796.2601,1081.2197,192.0>,<803.87555,1072.874,203.0>,<809.0,1067.0,211.0>,<809.0,1067.0,216.0>,
amusement_0518;P;<750.0,1521.0,0.0>,<741.0,1501.0,41.0>,<726.27155,1444.2651,56.0>,<721.7815,1392.537,67.0>,<722.0,1351.8087,78.0>,<723.36725,1306.6947,89.0>,<727.0534,1272.364,100.0>,<729.0,1237.257,111.0>,<734.0045,1207.3138,122.0>,<740.6658,1179.3362,134.0>,<752.24976,1156.1504,145.0>,<759.63055,1138.0813,156.0>,<765.9339,1121.8429,167.0>,<771.9446,1104.8143,178.0>,<779.1732,1090.5575,189.0>,<788.6083,1076.4355,200.0>,<790.0,1074.0,202.0>,<790.0,1074.0,208.0>,
disgust_0882;N;<691.0,1634.0,0.0>,<689.0,1628.0,100.0>,<685.30444,1607.0446,115.0>,<681.8041,1586.8246,126.0>,<677.8436,1560.327,137.0>,<673.27014,1525.7377,148.0>,<667.8766,1479.5192,160.0>,<665.0,1429.3975,171.0>,<666.09796,1373.5308,182.0>,<676.23145,1316.1514,193.0>,<687.6276,1275.4896,204.0>,<697.5943,1236.6605,215.0>,<707.0437,1199.8033,226.0>,<717.92596,1163.222,237.0>,<732.9304,1127.6478,248.0>,<748.8037,1094.868,260.0>,<764.222,1066.0164,271.0>,<777.3092,1040.9198,282.0>,<788.22546,1020.853,293.0>,<800.73474,1004.80945,304.0>,<811.5444,992.4557,315.0>,<821.7442,981.8198,326.0>,<829.6477,972.3523,337.0>,<837.1728,963.4363,348.0>,<843.2418,953.9303,360.0>,<851.0073,947.197,371.0>,<854.0,946.0,374.0>,<854.0,946.0,380.0>,
disgust_0900;N;<714.0,1588.0,0.0>,<713.0,1584.0,80.0>,<710.64545,1575.6136,89.0>,<708.3305,1565.6525,100.0>,<705.3378,1555.689,111.0>,<703.345,1542.4147,122.0>,<702.0,1528.4028,133.0>,<700.36957,1513.5868,145.0>,<698.36084,1497.8867,156.0>,<697.0,1482.4885,167.0>,<695.3467,1467.4266,178.0>,<693.36584,1453.5608,189.0>,<692.0,1440.5812,200.0>,<691.3819,1427.2914,211.0>,<689.3946,1415.9728,222.0>,<689.0,1404.365,233.0>,<688.0,1390.729,245.0>,<687.41205,1375.8845,256.0>,<687.0,1360.828,267.0>,<687.0,1347.9465,278.0>,<686.4176,1334.9233,289.0>,<686.0,1319.8561,300.0>,<687.0,1302.84,311.0>,<689.12933,1285.4828,322.0>,<692.575,1266.2499,333.0>,<697.1061,1243.9165,345.0>,<703.1942,1221.4174,356.0>,<710.20294,1196.8405,367.0>,<720.3642,1168.1501,378.0>,<731.80743,1139.3851,389.0>,<745.8179,1111.9097,400.0>,<758.7425,1087.1189,411.0>,<770.2048,1065.6587,422.0>,<781.66583,1048.7346,433.0>,<790.1429,1033.2499,445.0>,<798.0759,1019.3672,456.0>,<807.6355,1006.8374,467.0>,<816.9997,996.50037,478.0>,<825.99866,986.5017,489.0>,<833.9676,977.5405,500.0>,<843.01825,968.9818,511.0>,<850.5,962.5,522.0>,<857.4944,957.0038,533.0>,<862.4342,952.0438,545.0>,<864.0,951.0,547.0>,<864.0,951.0,553.0>,
fear_0961;N;<690.0,1565.0,0.0>,<686.0,1551.0,46.0>,<680.5788,1523.6833,58.0>,<680.0,1511.4004,69.0>,<681.702,1494.3837,81.0>,<682.69104,1478.4714,92.0>,<683.0,1464.198,103.0>,<684.3546,1449.5815,114.0>,<687.3255,1434.0353,125.0>,<689.66016,1417.0586,136.0>,<691.0,1399.7551,147.0>,<691.0,1382.1074,158.0>,<692.0,1363.5033,169.0>,<693.6388,1341.9729,181.0>,<695.63965,1320.9636,192.0>,<697.6344,1300.0219,203.0>,<699.62354,1279.1414,214.0>,<701.6236,1259.7642,225.0>,<704.6148,1241.4668,236.0>,<708.2217,1224.5023,247.0>,<712.1975,1208.21,258.0>,<717.20276,1190.5876,269.0>,<721.7954,1172.6138,281.0>,<727.7841,1155.6477,292.0>,<734.3498,1137.1255,303.0>,<742.90173,1118.1965,314.0>,<751.2976,1098.8303,325.0>,<760.852,1080.4368,336.0>,<769.8018,1062.9567,347.0>,<778.2126,1047.5748,358.0>,<787.2442,1032.0726,369.0>,<795.6687,1017.2638,381.0>,<805.65704,1004.28015,392.0>,<815.5568,990.93176,403.0>,<827.126,978.874,414.0>,<839.15485,968.371,425.0>,<849.6676,956.7988,436.0>,<857.0,949.0,444.0>,<857.0,949.0,450.0>,
disgust_0901;N;<702.0,1606.0,0.0>,<702.0,1600.0,61.0>,<700.79517,1593.9758,67.0>,<700.0,1584.9463,78.0>,<697.3283,1572.2982,89.0>,<694.31415,1556.5132,101.0>,<692.3326,1538.326,112.0>,<689.6595,1516.9569,123.0>,<687.3534,1491.594,134.0>,<685.3512,1464.2676,145.0>,<685.0,1435.4137,156.0>,<684.0,1404.8534,167.0>,<684.61383,1373.7926,178.0>,<686.62036,1344.6941,189.0>,<689.6089,1318.0845,201.0>,<693.1902,1292.8589,212.0>,<697.76117,1269.5424,223.0>,<702.16815,1248.1593,234.0>,<706.16406,1228.1796,245.0>,<710.15173,1208.2413,256.0>,<714.9536,1190.5033,267.0>,<721.67303,1166.4232,278.0>,<728.21075,1144.3677,289.0>,<736.7407,1120.4222,301.0>,<747.24194,1096.5161,312.0>,<759.12427,1072.7515,323.0>,<770.6524,1049.1647,334.0>,<782.1355,1028.7742,345.0>,<792.5954,1009.32837,356.0>,<803.0241,992.4718,367.0>,<813.50006,980.0,378.0>,<822.99866,968.00195,389.0>,<831.0285,957.97156,401.0>,<837.99664,951.0034,412.0>,<844.0,947.0,420.0>,<844.0,947.0,425.0>,
awe_0831;P;<731.0,1484.0,0.0>,<730.0,1475.0,49.0>,<728.2876,1457.8757,62.0>,<725.30176,1438.0178,73.0>,<722.30365,1419.0364,84.0>,<719.87067,1401.9181,95.0>,<718.0,1380.8999,106.0>,<717.0,1358.8025,117.0>,<717.0,1336.8269,128.0>,<717.0,1316.2081,139.0>,<718.0,1294.0022,150.0>,<719.52563,1272.2178,162.0>,<722.5362,1250.8794,173.0>,<726.0127,1230.9365,184.0>,<730.9967,1213.0131,195.0>,<735.92706,1195.1459,206.0>,<744.4139,1178.1378,217.0>,<747.0,1174.0,220.0>,<747.0,1174.0,225.0>,
amusement_0501;P;<754.0,1484.0,0.0>,<753.0,1481.0,122.0>,<751.3227,1467.6135,136.0>,<749.3317,1456.9905,148.0>,<748.0,1444.988,159.0>,<747.33716,1433.6857,170.0>,<747.0,1424.391,181.0>,<746.0,1415.38,192.0>,<745.0,1408.0664,203.0>,<744.0,1399.7828,214.0>,<743.0,1391.4419,225.0>,<743.0,1383.438,236.0>,<742.0,1373.2703,248.0>,<741.38446,1359.6913,259.0>,<738.38684,1345.7079,270.0>,<737.38336,1331.6833,281.0>,<737.60895,1316.1284,292.0>,<740.0,1299.56,303.0>,<740.0,1279.8972,314.0>,<742.19977,1259.4014,325.0>,<746.1868,1238.4724,336.0>,<750.8027,1214.7894,348.0>,<756.79254,1190.8298,359.0>,<762.7547,1168.566,370.0>,<770.32135,1148.1967,381.0>,<777.76373,1127.533,392.0>,<783.73773,1107.7867,403.0>,<789.1244,1091.5026,414.0>,<794.1305,1076.0432,425.0>,<799.10614,1062.1284,436.0>,<804.1071,1048.125,448.0>,<809.618,1035.3033,459.0>,<816.62665,1025.289,470.0>,<822.0601,1018.4098,481.0>,<826.05664,1012.94336,492.0>,<830.05115,1007.94885,503.0>,<832.51935,1004.9613,514.0>,<835.5223,999.95544,525.0>,<839.0258,996.9741,536.0>,<843.0224,991.97766,548.0>,<844.0,991.0,550.0>,<844.0,991.0,556.0>,
awe_0595;P;<752.0,1497.0,0.0>,<751.0,1493.0,77.0>,<747.64056,1480.6013,92.0>,<744.615,1468.845,103.0>,<741.3129,1457.5647,114.0>,<740.0,1446.5966,125.0>,<741.0,1435.6782,137.0>,<742.0,1423.9989,148.0>,<743.0,1412.085,159.0>,<742.3379,1398.3651,170.0>,<741.0,1383.5244,181.0>,<741.66077,1368.7136,192.0>,<742.63574,1355.1855,203.0>,<744.0,1345.4285,214.0>,<745.635,1337.0951,225.0>,<746.62555,1331.1233,237.0>,<749.0,1324.4778,248.0>,<750.635,1319.095,259.0>,<751.6295,1312.1115,270.0>,<753.6333,1305.1002,281.0>,<755.0,1298.4906,292.0>,<756.62366,1291.5052,303.0>,<757.60516,1283.5795,314.0>,<758.60565,1273.9717,325.0>,<760.62006,1263.8995,337.0>,<762.6092,1254.9539,348.0>,<764.59674,1245.0164,359.0>,<766.60986,1235.5605,370.0>,<768.5866,1226.0668,381.0>,<770.59625,1217.0187,392.0>,<773.5854,1206.4875,403.0>,<777.77985,1193.847,414.0>,<783.77325,1177.6802,425.0>,<789.16656,1159.7504,437.0>,<794.7344,1142.7969,448.0>,<800.7271,1125.3944,459.0>,<809.8335,1107.8997,470.0>,<819.8036,1091.5143,481.0>,<828.0,1081.0,489.0>,<828.0,1081.0,494.0>,
anger_0006;N;<732.0,1598.0,0.0>,<730.0,1593.0,61.0>,<727.59534,1585.786,67.0>,<725.3187,1575.9124,79.0>,<721.6376,1562.2314,90.0>,<718.6527,1546.9373,101.0>,<716.3251,1528.9254,112.0>,<713.6779,1509.3894,123.0>,<710.681,1488.7457,134.0>,<708.3529,1466.2346,145.0>,<707.33875,1442.7264,156.0>,<707.0,1419.2688,167.0>,<706.0,1396.8485,179.0>,<706.0,1378.2422,190.0>,<706.6359,1360.2769,201.0>,<708.0,1343.4124,212.0>,<709.62555,1324.7445,223.0>,<711.62573,1304.1171,234.0>,<714.8685,1283.1488,245.0>,<719.85803,1259.5679,256.0>,<725.88715,1235.4514,267.0>,<733.47845,1210.9451,279.0>,<743.0644,1186.0326,290.0>,<755.30554,1161.004,301.0>,<768.2866,1135.6515,312.0>,<780.6011,1110.1976,323.0>,<792.62244,1087.9625,334.0>,<802.3655,1068.6776,345.0>,<813.5345,1053.2874,356.0>,<824.5691,1037.836,367.0>,<836.54785,1026.0435,379.0>,<839.0,1024.0,381.0>,<839.0,1024.0,386.0>,
amusement_0502;P;<759.0,1554.0,0.0>,<754.0,1537.0,50.0>,<745.4996,1490.7452,68.0>,<743.0,1457.6989,79.0>,<744.0,1412.9575,90.0>,<747.02673,1367.4615,101.0>,<754.9952,1328.0339,112.0>,<764.5621,1284.0103,123.0>,<777.2931,1234.4591,134.0>,<796.0353,1188.5884,145.0>,<806.0,1163.0,153.0>,<806.0,1163.0,158.0>,
disgust_0805;N;<695.0,1594.0,0.0>,<694.0,1587.0,74.0>,<689.30804,1560.3884,89.0>,<687.31415,1536.0835,100.0>,<684.318,1502.9958,111.0>,<679.6732,1452.4149,122.0>,<677.0,1404.0787,133.0>,<677.0,1356.925,145.0>,<682.6066,1308.7086,156.0>,<688.9488,1264.957,167.0>,<694.2951,1229.9344,178.0>,<699.89594,1202.1522,189.0>,<704.87885,1174.8583,200.0>,<711.511,1150.467,211.0>,<717.86975,1127.1442,222.0>,<725.4441,1104.2787,233.0>,<731.79474,1084.0176,245.0>,<738.3774,1067.2452,256.0>,<744.0,1059.0,263.0>,<744.0,1059.0,269.0>,
disgust_0886;N;<667.0,1581.0,0.0>,<659.0,1561.0,41.0>,<650.8907,1537.3024,47.0>,<640.03687,1500.7255,58.0>,<636.6276,1471.9626,70.0>,<634.6127,1433.1267,81.0>,<632.3216,1400.4673,92.0>,<632.3304,1363.2769,103.0>,<632.67194,1322.5612,114.0>,<636.6601,1278.4773,125.0>,<642.6246,1231.2526,136.0>,<650.60944,1181.691,147.0>,<662.18884,1138.5203,158.0>,<678.0369,1105.5558,170.0>,<691.7132,1078.5736,181.0>,<703.11804,1055.7639,192.0>,<712.10297,1037.4147,203.0>,<720.41327,1020.17346,214.0>,<729.4383,1006.3425,225.0>,<739.6394,995.5737,236.0>,<747.0,990.0,244.0>,<747.0,990.0,249.0>,
excitement_0259;P;<662.0,1581.0,0.0>,<652.0,1543.0,39.0>,<645.9676,1515.4574,45.0>,<636.0139,1470.4641,57.0>,<630.9211,1433.6757,68.0>,<625.6088,1382.9144,79.0>,<626.6852,1333.6108,90.0>,<627.6861,1292.2198,101.0>,<633.04083,1249.7141,112.0>,<640.6999,1208.2432,123.0>,<649.9878,1171.0731,134.0>,<661.6106,1140.1683,145.0>,<670.58984,1116.2305,157.0>,<679.60547,1094.4863,168.0>,<686.901,1074.6635,179.0>,<691.8919,1056.3243,190.0>,<698.87384,1038.3784,201.0>,<705.4736,1022.05286,212.0>,<713.41046,1007.7816,223.0>,<721.41144,995.3828,234.0>,<728.3595,986.6405,245.0>,<734.84717,979.15283,257.0>,<741.39655,973.20264,268.0>,<748.3861,967.8069,279.0>,<754.0,966.0,287.0>,<754.0,966.0,292.0>,
excitement_0193;P;<716.0,1540.0,0.0>,<714.0,1531.0,100.0>,<708.96466,1501.8588,114.0>,<703.0026,1463.6868,125.0>,<697.6722,1414.738,136.0>,<693.3393,1363.4819,148.0>,<693.6469,1309.5333,159.0>,<698.606,1253.758,170.0>,<704.88153,1211.7108,181.0>,<712.7802,1177.2893,192.0>,<721.5041,1143.9835,203.0>,<731.0746,1115.3911,214.0>,<743.2088,1089.1837,225.0>,<755.69696,1062.9899,236.0>,<768.0101,1039.7758,248.0>,<779.02734,1016.9453,259.0>,<790.4816,999.3578,270.0>,<802.9063,985.51245,281.0>,<813.9517,973.458,292.0>,<822.26917,962.5963,303.0>,<829.73413,952.10974,314.0>,<835.1472,942.13184,325.0>,<841.7251,932.6998,336.0>,<848.27716,926.86145,348.0>,<850.0,926.0,350.0>,<850.0,926.0,355.0>,
awe_0847;P;<778.0,1517.0,0.0>,<774.0,1516.0,49.0>,<768.34766,1512.3477,66.0>,<767.0,1508.6959,78.0>,<766.3328,1505.6656,89.0>,<766.0,1501.6475,100.0>,<764.3289,1496.9868,111.0>,<763.3357,1490.3427,122.0>,<760.6607,1482.3214,133.0>,<758.33136,1470.3195,145.0>,<756.3295,1457.3068,156.0>,<754.3413,1443.3892,167.0>,<750.6749,1429.3623,178.0>,<746.7051,1415.4677,189.0>,<743.6875,1403.7188,200.0>,<742.0,1392.6312,211.0>,<741.0,1382.6569,222.0>,<741.6757,1370.9458,234.0>,<744.67035,1358.3076,245.0>,<746.656,1344.4082,256.0>,<748.6783,1329.5737,267.0>,<750.6711,1312.2894,278.0>,<752.0,1290.8711,289.0>,<753.0,1268.6752,300.0>,<753.68475,1243.0981,311.0>,<755.6575,1218.4532,323.0>,<759.34076,1192.9553,334.0>,<763.337,1167.978,345.0>,<768.98145,1143.4137,356.0>,<775.9887,1119.045,367.0>,<785.2952,1096.7505,378.0>,<794.6174,1076.4565,389.0>,<802.5781,1058.1992,401.0>,<808.9741,1042.3937,412.0>,<814.9933,1028.349,423.0>,<820.32306,1014.36926,434.0>,<824.996,1001.67346,445.0>,<829.30176,991.7455,456.0>,<834.9784,983.3622,467.0>,<840.01025,976.98975,478.0>,<846.0,974.0,486.0>,<846.0,974.0,491.0>,
amusement_0532;P;<696.0,1525.0,0.0>,<692.0,1487.0,49.0>,<687.363,1451.8419,56.0>,<681.346,1393.6781,67.0>,<680.0,1346.9441,78.0>,<682.6714,1283.1864,89.0>,<689.05634,1222.0421,100.0>,<696.9903,1178.7312,111.0>,<705.21783,1141.9121,122.0>,<712.622,1108.5118,134.0>,<720.47455,1084.2471,145.0>,<730.194,1063.612,156.0>,<738.512,1046.2319,167.0>,<745.8631,1035.5159,178.0>,<751.8407,1026.5458,189.0>,<758.0,1021.0,197.0>,<758.0,1021.0,202.0>,
amusement_0520;P;<762.0,1511.0,0.0>,<759.0,1503.0,60.0>,<754.3343,1493.6686,67.0>,<751.6334,1477.4839,78.0>,<747.639,1449.7507,89.0>,<745.3478,1402.086,100.0>,<745.669,1344.267,111.0>,<750.0188,1287.4852,123.0>,<759.3068,1229.8206,134.0>,<772.52136,1173.2687,145.0>,<783.2624,1131.2552,156.0>,<795.0665,1095.2336,167.0>,<807.1547,1072.0597,178.0>,<816.4912,1053.3947,189.0>,<823.24225,1035.4098,200.0>,<828.21515,1020.7471,211.0>,<833.8137,1007.37256,223.0>,<839.0,1000.0,230.0>,<839.0,1000.0,236.0>,
fear_0919;N;<813.0,1413.0,0.0>,<812.0,1406.0,66.0>,<808.30035,1383.703,81.0>,<804.6295,1364.1476,92.0>,<803.0,1341.0251,104.0>,<803.6849,1313.4114,115.0>,<805.6502,1282.5963,126.0>,<808.9482,1242.4662,137.0>,<814.5326,1192.4377,148.0>,<824.81055,1148.0281,159.0>,<835.7878,1104.7428,170.0>,<848.72925,1065.5691,181.0>,<858.2713,1041.1185,192.0>,<866.40546,1023.58777,204.0>,<873.9829,1007.824,215.0>,<880.8027,994.9956,226.0>,<887.784,983.432,237.0>,<893.7458,973.09033,248.0>,<897.1652,963.0869,259.0>,<899.0,954.062,270.0>,<900.0,944.6466,281.0>,<901.58105,938.8379,292.0>,<903.57587,934.84827,304.0>,<906.15405,932.423,315.0>,<909.1351,930.4325,326.0>,<912.0,929.0,334.0>,<912.0,929.0,339.0>,
anger_0261;N;<727.0,1374.0,0.0>,<727.0,1345.0,43.0>,<730.5804,1310.3896,50.0>,<736.3922,1272.0391,61.0>,<745.37006,1231.5419,72.0>,<754.0421,1204.8315,83.0>,<760.3195,1182.7426,94.0>,<764.61584,1161.1525,105.0>,<771.959,1139.1641,117.0>,<780.51044,1115.9122,128.0>,<791.5581,1092.9652,139.0>,<799.4944,1071.764,150.0>,<806.84717,1052.8428,161.0>,<813.83057,1033.8981,172.0>,<819.22473,1016.4888,183.0>,<827.03015,1000.3638,194.0>,<835.3606,990.6394,205.0>,<843.4054,980.9933,217.0>,<852.37286,974.22034,228.0>,<854.0,973.0,230.0>,<854.0,973.0,235.0>,
awe_0853;P;<722.0,1512.0,0.0>,<700.0,1481.0,41.0>,<680.54553,1428.5977,56.0>,<670.13043,1375.1306,67.0>,<669.0,1331.2534,78.0>,<672.07513,1272.6323,89.0>,<679.3981,1228.3689,101.0>,<688.67737,1188.9519,112.0>,<696.68536,1153.2445,123.0>,<705.273,1122.8356,134.0>,<714.6392,1094.7627,145.0>,<727.6209,1073.7582,156.0>,<735.5956,1058.4578,167.0>,<742.9203,1045.1594,178.0>,<749.9415,1033.764,189.0>,<755.8512,1023.2976,201.0>,<762.8814,1011.2372,212.0>,<768.8159,999.36816,223.0>,<777.04767,989.5619,234.0>,<779.0,988.0,236.0>,<779.0,988.0,241.0>,
amusement_0717;P;<762.0,1414.0,0.0>,<762.0,1406.0,58.0>,<759.3278,1390.2782,67.0>,<758.0,1368.0437,78.0>,<758.0,1341.8964,89.0>,<758.68146,1295.2379,100.0>,<762.3668,1242.2313,111.0>,<769.0574,1192.0942,123.0>,<779.4087,1142.9565,134.0>,<795.0869,1096.1208,145.0>,<808.4822,1068.0356,156.0>,<817.6764,1046.6399,167.0>,<824.0451,1026.8646,178.0>,<830.0021,1009.66125,189.0>,<836.00104,994.33093,200.0>,<843.00244,980.32764,212.0>,<849.31964,967.38135,223.0>,<853.31213,955.0636,234.0>,<859.02057,944.63245,245.0>,<864.99835,937.3356,256.0>,<869.33307,931.667,267.0>,<872.66394,926.6721,278.0>,<875.6775,922.645,290.0>,<878.32385,918.67615,301.0>,<881.32916,915.33545,312.0>,<883.6559,912.3441,323.0>,<885.67126,912.0,334.0>,<887.0,912.0,341.0>,<887.0,912.0,347.0>,
awe_0597;P;<831.0,1345.0,0.0>,<829.0,1338.0,66.0>,<825.3061,1314.755,81.0>,<824.32477,1296.9227,92.0>,<824.0,1280.6047,103.0>,<824.0,1263.7339,114.0>,<824.0,1246.5552,125.0>,<825.6654,1226.6808,136.0>,<829.2834,1203.2996,147.0>,<834.8821,1174.5895,159.0>,<841.50085,1138.121,170.0>,<850.5088,1098.456,181.0>,<862.88043,1060.629,192.0>,<878.9008,1025.5857,203.0>,<888.8187,997.9375,214.0>,<895.3957,981.2086,225.0>,<901.2004,967.999,236.0>,<905.5838,956.9132,247.0>,<909.1696,945.0759,259.0>,<914.73303,934.68933,270.0>,<920.73724,925.1046,281.0>,<926.7423,915.09607,292.0>,<932.1467,905.1332,303.0>,<936.1269,896.18286,314.0>,<940.1172,888.3242,325.0>,<942.56366,882.30896,336.0>,<944.5532,877.34033,347.0>,<945.5547,871.8906,359.0>,<946.0,868.44543,370.0>,<947.0,865.45447,381.0>,<948.5,863.5,392.0>,<949.546,862.454,403.0>,<951.0863,861.0,414.0>,<953.53986,860.5399,425.0>,<954.0,861.0,428.0>,<954.0,861.0,433.0>,
disgust_0889;N;<712.0,1519.0,0.0>,<693.0,1487.0,41.0>,<683.85516,1461.4207,47.0>,<675.4088,1410.8766,58.0>,<674.3151,1362.7146,70.0>,<678.0672,1293.8826,81.0>,<687.0361,1231.0325,92.0>,<694.71497,1184.7463,103.0>,<701.9726,1144.5067,114.0>,<708.92926,1111.7107,125.0>,<715.28503,1082.3623,136.0>,<722.6159,1056.1522,147.0>,<734.093,1035.2704,158.0>,<743.91815,1020.8849,170.0>,<750.2468,1008.2595,181.0>,<755.2572,998.4856,192.0>,<760.8691,991.131,203.0>,<766.85455,984.1455,214.0>,<774.0,982.0,222.0>,<774.0,982.0,227.0>,
awe_0042;P;<683.0,1482.0,0.0>,<682.0,1475.0,74.0>,<678.3231,1425.4016,89.0>,<681.05664,1369.4337,101.0>,<689.38855,1304.28,112.0>,<703.11456,1230.1831,123.0>,<723.99664,1152.0109,134.0>,<750.3731,1100.5944,145.0>,<770.6019,1068.0972,156.0>,<783.0,1051.0,164.0>,<783.0,1051.0,169.0>,
fear_0969;N;<693.0,1584.0,0.0>,<690.0,1575.0,64.0>,<682.6726,1541.0284,74.0>,<674.6529,1480.4468,85.0>,<669.62524,1415.317,96.0>,<673.7401,1345.3392,107.0>,<686.7499,1268.5365,118.0>,<702.37146,1197.4457,129.0>,<716.42834,1143.0364,141.0>,<732.3545,1101.291,152.0>,<745.9888,1073.3577,163.0>,<756.34204,1051.3159,174.0>,<763.9378,1033.8325,185.0>,<768.9916,1018.6891,196.0>,<773.92065,1003.51855,207.0>,<778.3279,991.01636,218.0>,<783.2677,979.8307,230.0>,<787.2957,968.76074,241.0>,<791.24976,959.5005,252.0>,<796.2671,949.8323,263.0>,<800.8772,941.4971,274.0>,<806.86945,933.50745,285.0>,<814.4727,925.1455,296.0>,<821.4668,916.9165,308.0>,<828.5263,909.1052,319.0>,<835.3786,905.0,330.0>,<837.0,905.0,332.0>,<837.0,905.0,339.0>,
